abbreviation,name,year,value
nlo,Northern  Lorraine,1485,NA
nrv,Northern Rhone valley,1485,NA
sav,Savoie,1485,NA
spa,Spain,1485,NA
slo,Southern Lorraine,1485,NA
srv,Southern Rhone valley,1485,NA
swi,Switzerland (Leman Lake),1485,NA
vse,Various South-East,1485,NA
vpc,Vendée - Poitou Charente,1485,NA
als,Alsace,1486,NA
auv,Auvergne,1486,NA
aux,Auxerre-Avalon,1486,NA
bea,Beaujolais and Maconnais,1486,NA
bor,Bordeaux,1486,NA
bur,Burgundy,1486,21
cha1,Champagne 1,1486,NA
cha2,Champagne 2,1486,NA
gai,Gaillac- South-West,1486,NA
ger,Germany,1486,NA
hlv,High Loire Valley,1486,NA
idf,Ile de France,1486,15.333333333333332
jur,Jura,1486,NA
lan,Languedoc,1486,NA
llv,Low Loire Valley,1486,NA
lux,Luxembourg,1486,NA
mar,Maritime alps,1486,NA
nit,Northern Italy,1486,NA
nlo,Northern  Lorraine,1486,NA
nrv,Northern Rhone valley,1486,NA
sav,Savoie,1486,NA
spa,Spain,1486,NA
slo,Southern Lorraine,1486,NA
srv,Southern Rhone valley,1486,NA
swi,Switzerland (Leman Lake),1486,NA
vse,Various South-East,1486,NA
vpc,Vendée - Poitou Charente,1486,NA
als,Alsace,1487,NA
auv,Auvergne,1487,NA
aux,Auxerre-Avalon,1487,NA
bea,Beaujolais and Maconnais,1487,NA
bor,Bordeaux,1487,NA
bur,Burgundy,1487,23
cha1,Champagne 1,1487,NA
cha2,Champagne 2,1487,NA
gai,Gaillac- South-West,1487,NA
ger,Germany,1487,NA
hlv,High Loire Valley,1487,NA
idf,Ile de France,1487,25.333333333333332
jur,Jura,1487,NA
lan,Languedoc,1487,NA
llv,Low Loire Valley,1487,NA
lux,Luxembourg,1487,NA
mar,Maritime alps,1487,NA
nit,Northern Italy,1487,NA
nlo,Northern  Lorraine,1487,NA
nrv,Northern Rhone valley,1487,NA
sav,Savoie,1487,NA
spa,Spain,1487,NA
slo,Southern Lorraine,1487,NA
srv,Southern Rhone valley,1487,NA
swi,Switzerland (Leman Lake),1487,NA
vse,Various South-East,1487,NA
vpc,Vendée - Poitou Charente,1487,NA
als,Alsace,1488,NA
auv,Auvergne,1488,NA
aux,Auxerre-Avalon,1488,NA
bea,Beaujolais and Maconnais,1488,NA
bor,Bordeaux,1488,NA
bur,Burgundy,1488,43
cha1,Champagne 1,1488,NA
cha2,Champagne 2,1488,NA
gai,Gaillac- South-West,1488,NA
ger,Germany,1488,NA
hlv,High Loire Valley,1488,NA
idf,Ile de France,1488,45.23333333333333
jur,Jura,1488,NA
lan,Languedoc,1488,NA
llv,Low Loire Valley,1488,NA
lux,Luxembourg,1488,NA
mar,Maritime alps,1488,NA
nit,Northern Italy,1488,NA
nlo,Northern  Lorraine,1488,NA
nrv,Northern Rhone valley,1488,NA
sav,Savoie,1488,NA
spa,Spain,1488,NA
slo,Southern Lorraine,1488,NA
srv,Southern Rhone valley,1488,NA
swi,Switzerland (Leman Lake),1488,NA
vse,Various South-East,1488,NA
vpc,Vendée - Poitou Charente,1488,NA
als,Alsace,1489,NA
auv,Auvergne,1489,NA
aux,Auxerre-Avalon,1489,NA
bea,Beaujolais and Maconnais,1489,NA
bor,Bordeaux,1489,NA
bur,Burgundy,1489,32
cha1,Champagne 1,1489,NA
cha2,Champagne 2,1489,NA
gai,Gaillac- South-West,1489,NA
ger,Germany,1489,NA
hlv,High Loire Valley,1489,NA
idf,Ile de France,1489,19.333333333333332
jur,Jura,1489,NA
lan,Languedoc,1489,NA
llv,Low Loire Valley,1489,NA
lux,Luxembourg,1489,NA
mar,Maritime alps,1489,NA
nit,Northern Italy,1489,NA
nlo,Northern  Lorraine,1489,NA
nrv,Northern Rhone valley,1489,NA
sav,Savoie,1489,NA
spa,Spain,1489,NA
slo,Southern Lorraine,1489,NA
srv,Southern Rhone valley,1489,NA
swi,Switzerland (Leman Lake),1489,NA
vse,Various South-East,1489,NA
vpc,Vendée - Poitou Charente,1489,NA
als,Alsace,1490,NA
auv,Auvergne,1490,NA
aux,Auxerre-Avalon,1490,NA
bea,Beaujolais and Maconnais,1490,NA
bor,Bordeaux,1490,NA
bur,Burgundy,1490,26
cha1,Champagne 1,1490,NA
cha2,Champagne 2,1490,NA
gai,Gaillac- South-West,1490,NA
ger,Germany,1490,NA
hlv,High Loire Valley,1490,NA
idf,Ile de France,1490,24.333333333333332
jur,Jura,1490,NA
lan,Languedoc,1490,NA
llv,Low Loire Valley,1490,NA
lux,Luxembourg,1490,NA
mar,Maritime alps,1490,NA
nit,Northern Italy,1490,NA
nlo,Northern  Lorraine,1490,NA
nrv,Northern Rhone valley,1490,NA
sav,Savoie,1490,NA
spa,Spain,1490,NA
slo,Southern Lorraine,1490,NA
srv,Southern Rhone valley,1490,NA
swi,Switzerland (Leman Lake),1490,NA
vse,Various South-East,1490,NA
vpc,Vendée - Poitou Charente,1490,NA
als,Alsace,1491,NA
auv,Auvergne,1491,NA
aux,Auxerre-Avalon,1491,NA
bea,Beaujolais and Maconnais,1491,NA
bor,Bordeaux,1491,NA
bur,Burgundy,1491,46
cha1,Champagne 1,1491,NA
cha2,Champagne 2,1491,NA
gai,Gaillac- South-West,1491,NA
ger,Germany,1491,NA
hlv,High Loire Valley,1491,NA
idf,Ile de France,1491,49.33333333333333
jur,Jura,1491,NA
lan,Languedoc,1491,NA
llv,Low Loire Valley,1491,NA
lux,Luxembourg,1491,NA
mar,Maritime alps,1491,NA
nit,Northern Italy,1491,NA
nlo,Northern  Lorraine,1491,NA
nrv,Northern Rhone valley,1491,NA
sav,Savoie,1491,NA
spa,Spain,1491,NA
slo,Southern Lorraine,1491,NA
srv,Southern Rhone valley,1491,NA
swi,Switzerland (Leman Lake),1491,NA
vse,Various South-East,1491,NA
vpc,Vendée - Poitou Charente,1491,NA
als,Alsace,1492,NA
auv,Auvergne,1492,NA
aux,Auxerre-Avalon,1492,NA
bea,Beaujolais and Maconnais,1492,NA
bor,Bordeaux,1492,NA
bur,Burgundy,1492,NA
cha1,Champagne 1,1492,NA
cha2,Champagne 2,1492,NA
gai,Gaillac- South-West,1492,25
ger,Germany,1492,NA
hlv,High Loire Valley,1492,NA
idf,Ile de France,1492,NA
jur,Jura,1492,23.976190476190474
lan,Languedoc,1492,NA
llv,Low Loire Valley,1492,NA
lux,Luxembourg,1492,NA
mar,Maritime alps,1492,NA
nit,Northern Italy,1492,NA
nlo,Northern  Lorraine,1492,NA
nrv,Northern Rhone valley,1492,NA
sav,Savoie,1492,NA
spa,Spain,1492,NA
slo,Southern Lorraine,1492,NA
srv,Southern Rhone valley,1492,NA
swi,Switzerland (Leman Lake),1492,NA
vse,Various South-East,1492,NA
vpc,Vendée - Poitou Charente,1492,NA
als,Alsace,1493,NA
auv,Auvergne,1493,NA
aux,Auxerre-Avalon,1493,NA
bea,Beaujolais and Maconnais,1493,NA
bor,Bordeaux,1493,NA
bur,Burgundy,1493,36
cha1,Champagne 1,1493,NA
cha2,Champagne 2,1493,NA
gai,Gaillac- South-West,1493,29
ger,Germany,1493,NA
hlv,High Loire Valley,1493,NA
idf,Ile de France,1493,31.333333333333332
jur,Jura,1493,42.976190476190474
lan,Languedoc,1493,NA
llv,Low Loire Valley,1493,NA
lux,Luxembourg,1493,NA
mar,Maritime alps,1493,NA
nit,Northern Italy,1493,NA
nlo,Northern  Lorraine,1493,NA
nrv,Northern Rhone valley,1493,NA
sav,Savoie,1493,NA
spa,Spain,1493,NA
slo,Southern Lorraine,1493,NA
srv,Southern Rhone valley,1493,NA
swi,Switzerland (Leman Lake),1493,NA
vse,Various South-East,1493,NA
vpc,Vendée - Poitou Charente,1493,NA
als,Alsace,1494,NA
auv,Auvergne,1494,NA
aux,Auxerre-Avalon,1494,NA
bea,Beaujolais and Maconnais,1494,NA
bor,Bordeaux,1494,NA
bur,Burgundy,1494,19
cha1,Champagne 1,1494,NA
cha2,Champagne 2,1494,NA
gai,Gaillac- South-West,1494,NA
ger,Germany,1494,NA
hlv,High Loire Valley,1494,NA
idf,Ile de France,1494,NA
jur,Jura,1494,23.976190476190474
lan,Languedoc,1494,NA
llv,Low Loire Valley,1494,NA
lux,Luxembourg,1494,NA
mar,Maritime alps,1494,NA
nit,Northern Italy,1494,NA
nlo,Northern  Lorraine,1494,NA
nrv,Northern Rhone valley,1494,NA
sav,Savoie,1494,NA
spa,Spain,1494,NA
slo,Southern Lorraine,1494,NA
srv,Southern Rhone valley,1494,NA
swi,Switzerland (Leman Lake),1494,NA
vse,Various South-East,1494,NA
vpc,Vendée - Poitou Charente,1494,NA
als,Alsace,1495,NA
auv,Auvergne,1495,NA
aux,Auxerre-Avalon,1495,NA
bea,Beaujolais and Maconnais,1495,NA
bor,Bordeaux,1495,NA
bur,Burgundy,1495,14
cha1,Champagne 1,1495,NA
cha2,Champagne 2,1495,NA
gai,Gaillac- South-West,1495,NA
ger,Germany,1495,NA
hlv,High Loire Valley,1495,NA
idf,Ile de France,1495,NA
jur,Jura,1495,NA
lan,Languedoc,1495,NA
llv,Low Loire Valley,1495,NA
lux,Luxembourg,1495,NA
mar,Maritime alps,1495,NA
nit,Northern Italy,1495,NA
nlo,Northern  Lorraine,1495,NA
nrv,Northern Rhone valley,1495,NA
sav,Savoie,1495,NA
spa,Spain,1495,NA
slo,Southern Lorraine,1495,NA
srv,Southern Rhone valley,1495,NA
swi,Switzerland (Leman Lake),1495,NA
vse,Various South-East,1495,NA
vpc,Vendée - Poitou Charente,1495,NA
als,Alsace,1496,NA
auv,Auvergne,1496,NA
aux,Auxerre-Avalon,1496,NA
bea,Beaujolais and Maconnais,1496,NA
bor,Bordeaux,1496,NA
bur,Burgundy,1496,41
cha1,Champagne 1,1496,NA
cha2,Champagne 2,1496,NA
gai,Gaillac- South-West,1496,NA
ger,Germany,1496,NA
hlv,High Loire Valley,1496,NA
idf,Ile de France,1496,36.133333333333326
jur,Jura,1496,NA
lan,Languedoc,1496,NA
llv,Low Loire Valley,1496,NA
lux,Luxembourg,1496,NA
mar,Maritime alps,1496,NA
nit,Northern Italy,1496,NA
nlo,Northern  Lorraine,1496,NA
nrv,Northern Rhone valley,1496,NA
sav,Savoie,1496,NA
spa,Spain,1496,NA
slo,Southern Lorraine,1496,NA
srv,Southern Rhone valley,1496,NA
swi,Switzerland (Leman Lake),1496,44
vse,Various South-East,1496,NA
vpc,Vendée - Poitou Charente,1496,NA
als,Alsace,1497,NA
auv,Auvergne,1497,NA
aux,Auxerre-Avalon,1497,NA
bea,Beaujolais and Maconnais,1497,NA
bor,Bordeaux,1497,NA
bur,Burgundy,1497,40
cha1,Champagne 1,1497,NA
cha2,Champagne 2,1497,NA
gai,Gaillac- South-West,1497,NA
ger,Germany,1497,NA
hlv,High Loire Valley,1497,NA
idf,Ile de France,1497,32.633333333333326
jur,Jura,1497,NA
lan,Languedoc,1497,NA
llv,Low Loire Valley,1497,NA
lux,Luxembourg,1497,NA
mar,Maritime alps,1497,NA
nit,Northern Italy,1497,NA
nlo,Northern  Lorraine,1497,NA
nrv,Northern Rhone valley,1497,NA
sav,Savoie,1497,NA
spa,Spain,1497,NA
slo,Southern Lorraine,1497,NA
srv,Southern Rhone valley,1497,NA
swi,Switzerland (Leman Lake),1497,23
vse,Various South-East,1497,NA
vpc,Vendée - Poitou Charente,1497,NA
als,Alsace,1498,NA
auv,Auvergne,1498,NA
aux,Auxerre-Avalon,1498,NA
bea,Beaujolais and Maconnais,1498,NA
bor,Bordeaux,1498,NA
bur,Burgundy,1498,27
cha1,Champagne 1,1498,NA
cha2,Champagne 2,1498,NA
gai,Gaillac- South-West,1498,NA
ger,Germany,1498,NA
hlv,High Loire Valley,1498,NA
idf,Ile de France,1498,19.333333333333332
jur,Jura,1498,NA
lan,Languedoc,1498,NA
llv,Low Loire Valley,1498,NA
lux,Luxembourg,1498,NA
mar,Maritime alps,1498,NA
nit,Northern Italy,1498,NA
nlo,Northern  Lorraine,1498,NA
nrv,Northern Rhone valley,1498,NA
sav,Savoie,1498,NA
spa,Spain,1498,NA
slo,Southern Lorraine,1498,NA
srv,Southern Rhone valley,1498,NA
swi,Switzerland (Leman Lake),1498,34
vse,Various South-East,1498,NA
vpc,Vendée - Poitou Charente,1498,NA
als,Alsace,1499,NA
auv,Auvergne,1499,NA
aux,Auxerre-Avalon,1499,NA
bea,Beaujolais and Maconnais,1499,NA
bor,Bordeaux,1499,NA
bur,Burgundy,1499,29
cha1,Champagne 1,1499,NA
cha2,Champagne 2,1499,NA
gai,Gaillac- South-West,1499,34
ger,Germany,1499,NA
hlv,High Loire Valley,1499,NA
idf,Ile de France,1499,NA
jur,Jura,1499,NA
lan,Languedoc,1499,NA
llv,Low Loire Valley,1499,NA
lux,Luxembourg,1499,NA
mar,Maritime alps,1499,NA
nit,Northern Italy,1499,NA
nlo,Northern  Lorraine,1499,NA
nrv,Northern Rhone valley,1499,NA
sav,Savoie,1499,NA
spa,Spain,1499,49
slo,Southern Lorraine,1499,NA
srv,Southern Rhone valley,1499,NA
swi,Switzerland (Leman Lake),1499,35
vse,Various South-East,1499,NA
vpc,Vendée - Poitou Charente,1499,NA
als,Alsace,1500,NA
auv,Auvergne,1500,NA
aux,Auxerre-Avalon,1500,NA
bea,Beaujolais and Maconnais,1500,NA
bor,Bordeaux,1500,NA
bur,Burgundy,1500,14
cha1,Champagne 1,1500,NA
cha2,Champagne 2,1500,NA
gai,Gaillac- South-West,1500,NA
ger,Germany,1500,NA
hlv,High Loire Valley,1500,NA
idf,Ile de France,1500,NA
jur,Jura,1500,NA
lan,Languedoc,1500,NA
llv,Low Loire Valley,1500,NA
lux,Luxembourg,1500,NA
mar,Maritime alps,1500,14
nit,Northern Italy,1500,NA
nlo,Northern  Lorraine,1500,NA
nrv,Northern Rhone valley,1500,NA
sav,Savoie,1500,NA
spa,Spain,1500,40
slo,Southern Lorraine,1500,NA
srv,Southern Rhone valley,1500,NA
swi,Switzerland (Leman Lake),1500,NA
vse,Various South-East,1500,NA
vpc,Vendée - Poitou Charente,1500,NA
als,Alsace,1501,NA
auv,Auvergne,1501,NA
aux,Auxerre-Avalon,1501,NA
bea,Beaujolais and Maconnais,1501,NA
bor,Bordeaux,1501,NA
bur,Burgundy,1501,19
cha1,Champagne 1,1501,NA
cha2,Champagne 2,1501,NA
gai,Gaillac- South-West,1501,16
ger,Germany,1501,NA
hlv,High Loire Valley,1501,NA
idf,Ile de France,1501,NA
jur,Jura,1501,NA
lan,Languedoc,1501,NA
llv,Low Loire Valley,1501,NA
lux,Luxembourg,1501,NA
mar,Maritime alps,1501,NA
nit,Northern Italy,1501,NA
nlo,Northern  Lorraine,1501,NA
nrv,Northern Rhone valley,1501,NA
sav,Savoie,1501,NA
spa,Spain,1501,37
slo,Southern Lorraine,1501,NA
srv,Southern Rhone valley,1501,NA
swi,Switzerland (Leman Lake),1501,NA
vse,Various South-East,1501,NA
vpc,Vendée - Poitou Charente,1501,NA
als,Alsace,1502,NA
auv,Auvergne,1502,NA
aux,Auxerre-Avalon,1502,NA
bea,Beaujolais and Maconnais,1502,NA
bor,Bordeaux,1502,NA
bur,Burgundy,1502,29
cha1,Champagne 1,1502,NA
cha2,Champagne 2,1502,NA
gai,Gaillac- South-West,1502,NA
ger,Germany,1502,NA
hlv,High Loire Valley,1502,NA
idf,Ile de France,1502,15.395833333333332
jur,Jura,1502,NA
lan,Languedoc,1502,NA
llv,Low Loire Valley,1502,NA
lux,Luxembourg,1502,NA
mar,Maritime alps,1502,12
nit,Northern Italy,1502,NA
nlo,Northern  Lorraine,1502,NA
nrv,Northern Rhone valley,1502,NA
sav,Savoie,1502,NA
spa,Spain,1502,NA
slo,Southern Lorraine,1502,NA
srv,Southern Rhone valley,1502,NA
swi,Switzerland (Leman Lake),1502,33
vse,Various South-East,1502,NA
vpc,Vendée - Poitou Charente,1502,NA
als,Alsace,1503,NA
auv,Auvergne,1503,NA
aux,Auxerre-Avalon,1503,NA
bea,Beaujolais and Maconnais,1503,NA
bor,Bordeaux,1503,NA
bur,Burgundy,1503,28
cha1,Champagne 1,1503,NA
cha2,Champagne 2,1503,NA
gai,Gaillac- South-West,1503,27
ger,Germany,1503,NA
hlv,High Loire Valley,1503,NA
idf,Ile de France,1503,6.395833333333332
jur,Jura,1503,NA
lan,Languedoc,1503,NA
llv,Low Loire Valley,1503,NA
lux,Luxembourg,1503,NA
mar,Maritime alps,1503,NA
nit,Northern Italy,1503,NA
nlo,Northern  Lorraine,1503,NA
nrv,Northern Rhone valley,1503,NA
sav,Savoie,1503,NA
spa,Spain,1503,39
slo,Southern Lorraine,1503,NA
srv,Southern Rhone valley,1503,NA
swi,Switzerland (Leman Lake),1503,17
vse,Various South-East,1503,NA
vpc,Vendée - Poitou Charente,1503,NA
als,Alsace,1504,NA
auv,Auvergne,1504,NA
aux,Auxerre-Avalon,1504,NA
bea,Beaujolais and Maconnais,1504,NA
bor,Bordeaux,1504,NA
bur,Burgundy,1504,15
cha1,Champagne 1,1504,NA
cha2,Champagne 2,1504,NA
gai,Gaillac- South-West,1504,NA
ger,Germany,1504,NA
hlv,High Loire Valley,1504,NA
idf,Ile de France,1504,NA
jur,Jura,1504,20.976190476190474
lan,Languedoc,1504,NA
llv,Low Loire Valley,1504,NA
lux,Luxembourg,1504,NA
mar,Maritime alps,1504,NA
nit,Northern Italy,1504,NA
nlo,Northern  Lorraine,1504,NA
nrv,Northern Rhone valley,1504,NA
sav,Savoie,1504,NA
spa,Spain,1504,36
slo,Southern Lorraine,1504,NA
srv,Southern Rhone valley,1504,NA
swi,Switzerland (Leman Lake),1504,27
vse,Various South-East,1504,NA
vpc,Vendée - Poitou Charente,1504,NA
als,Alsace,1505,NA
auv,Auvergne,1505,NA
aux,Auxerre-Avalon,1505,NA
bea,Beaujolais and Maconnais,1505,NA
bor,Bordeaux,1505,NA
bur,Burgundy,1505,43
cha1,Champagne 1,1505,NA
cha2,Champagne 2,1505,NA
gai,Gaillac- South-West,1505,NA
ger,Germany,1505,NA
hlv,High Loire Valley,1505,NA
idf,Ile de France,1505,43.033333333333324
jur,Jura,1505,NA
lan,Languedoc,1505,NA
llv,Low Loire Valley,1505,NA
lux,Luxembourg,1505,NA
mar,Maritime alps,1505,NA
nit,Northern Italy,1505,NA
nlo,Northern  Lorraine,1505,NA
nrv,Northern Rhone valley,1505,NA
sav,Savoie,1505,NA
spa,Spain,1505,NA
slo,Southern Lorraine,1505,NA
srv,Southern Rhone valley,1505,NA
swi,Switzerland (Leman Lake),1505,46
vse,Various South-East,1505,NA
vpc,Vendée - Poitou Charente,1505,NA
als,Alsace,1506,NA
auv,Auvergne,1506,NA
aux,Auxerre-Avalon,1506,NA
bea,Beaujolais and Maconnais,1506,NA
bor,Bordeaux,1506,NA
bur,Burgundy,1506,28
cha1,Champagne 1,1506,NA
cha2,Champagne 2,1506,NA
gai,Gaillac- South-West,1506,36
ger,Germany,1506,NA
hlv,High Loire Valley,1506,NA
idf,Ile de France,1506,17.395833333333332
jur,Jura,1506,NA
lan,Languedoc,1506,NA
llv,Low Loire Valley,1506,NA
lux,Luxembourg,1506,NA
mar,Maritime alps,1506,NA
nit,Northern Italy,1506,NA
nlo,Northern  Lorraine,1506,NA
nrv,Northern Rhone valley,1506,NA
sav,Savoie,1506,NA
spa,Spain,1506,48
slo,Southern Lorraine,1506,NA
srv,Southern Rhone valley,1506,NA
swi,Switzerland (Leman Lake),1506,41
vse,Various South-East,1506,NA
vpc,Vendée - Poitou Charente,1506,NA
als,Alsace,1507,NA
auv,Auvergne,1507,NA
aux,Auxerre-Avalon,1507,NA
bea,Beaujolais and Maconnais,1507,NA
bor,Bordeaux,1507,NA
bur,Burgundy,1507,16
cha1,Champagne 1,1507,NA
cha2,Champagne 2,1507,NA
gai,Gaillac- South-West,1507,NA
ger,Germany,1507,NA
hlv,High Loire Valley,1507,NA
idf,Ile de France,1507,9.395833333333332
jur,Jura,1507,44.976190476190474
lan,Languedoc,1507,NA
llv,Low Loire Valley,1507,NA
lux,Luxembourg,1507,NA
mar,Maritime alps,1507,NA
nit,Northern Italy,1507,NA
nlo,Northern  Lorraine,1507,NA
nrv,Northern Rhone valley,1507,NA
sav,Savoie,1507,NA
spa,Spain,1507,NA
slo,Southern Lorraine,1507,NA
srv,Southern Rhone valley,1507,NA
swi,Switzerland (Leman Lake),1507,26
vse,Various South-East,1507,NA
vpc,Vendée - Poitou Charente,1507,NA
als,Alsace,1508,NA
auv,Auvergne,1508,NA
aux,Auxerre-Avalon,1508,NA
bea,Beaujolais and Maconnais,1508,NA
bor,Bordeaux,1508,NA
bur,Burgundy,1508,30
cha1,Champagne 1,1508,NA
cha2,Champagne 2,1508,NA
gai,Gaillac- South-West,1508,NA
ger,Germany,1508,NA
hlv,High Loire Valley,1508,NA
idf,Ile de France,1508,28.395833333333332
jur,Jura,1508,46
lan,Languedoc,1508,NA
llv,Low Loire Valley,1508,NA
lux,Luxembourg,1508,NA
mar,Maritime alps,1508,NA
nit,Northern Italy,1508,NA
nlo,Northern  Lorraine,1508,NA
nrv,Northern Rhone valley,1508,NA
sav,Savoie,1508,NA
spa,Spain,1508,53
slo,Southern Lorraine,1508,NA
srv,Southern Rhone valley,1508,NA
swi,Switzerland (Leman Lake),1508,NA
vse,Various South-East,1508,NA
vpc,Vendée - Poitou Charente,1508,NA
als,Alsace,1509,NA
auv,Auvergne,1509,NA
aux,Auxerre-Avalon,1509,NA
bea,Beaujolais and Maconnais,1509,NA
bor,Bordeaux,1509,NA
bur,Burgundy,1509,20
cha1,Champagne 1,1509,NA
cha2,Champagne 2,1509,NA
gai,Gaillac- South-West,1509,NA
ger,Germany,1509,NA
hlv,High Loire Valley,1509,NA
idf,Ile de France,1509,20.395833333333332
jur,Jura,1509,NA
lan,Languedoc,1509,NA
llv,Low Loire Valley,1509,NA
lux,Luxembourg,1509,NA
mar,Maritime alps,1509,NA
nit,Northern Italy,1509,NA
nlo,Northern  Lorraine,1509,NA
nrv,Northern Rhone valley,1509,NA
sav,Savoie,1509,NA
spa,Spain,1509,NA
slo,Southern Lorraine,1509,NA
srv,Southern Rhone valley,1509,NA
swi,Switzerland (Leman Lake),1509,35
vse,Various South-East,1509,NA
vpc,Vendée - Poitou Charente,1509,NA
als,Alsace,1510,NA
auv,Auvergne,1510,NA
aux,Auxerre-Avalon,1510,NA
bea,Beaujolais and Maconnais,1510,NA
bor,Bordeaux,1510,NA
bur,Burgundy,1510,30
cha1,Champagne 1,1510,NA
cha2,Champagne 2,1510,NA
gai,Gaillac- South-West,1510,NA
ger,Germany,1510,NA
hlv,High Loire Valley,1510,NA
idf,Ile de France,1510,27.53333333333333
jur,Jura,1510,NA
lan,Languedoc,1510,NA
llv,Low Loire Valley,1510,NA
lux,Luxembourg,1510,NA
mar,Maritime alps,1510,NA
nit,Northern Italy,1510,NA
nlo,Northern  Lorraine,1510,NA
nrv,Northern Rhone valley,1510,NA
sav,Savoie,1510,NA
spa,Spain,1510,45
slo,Southern Lorraine,1510,NA
srv,Southern Rhone valley,1510,NA
swi,Switzerland (Leman Lake),1510,35
vse,Various South-East,1510,NA
vpc,Vendée - Poitou Charente,1510,NA
als,Alsace,1511,NA
auv,Auvergne,1511,NA
aux,Auxerre-Avalon,1511,NA
bea,Beaujolais and Maconnais,1511,NA
bor,Bordeaux,1511,NA
bur,Burgundy,1511,44
cha1,Champagne 1,1511,NA
cha2,Champagne 2,1511,NA
gai,Gaillac- South-West,1511,NA
ger,Germany,1511,NA
hlv,High Loire Valley,1511,NA
idf,Ile de France,1511,35.533333333333324
jur,Jura,1511,NA
lan,Languedoc,1511,NA
llv,Low Loire Valley,1511,NA
lux,Luxembourg,1511,NA
mar,Maritime alps,1511,NA
nit,Northern Italy,1511,NA
nlo,Northern  Lorraine,1511,NA
nrv,Northern Rhone valley,1511,NA
sav,Savoie,1511,NA
spa,Spain,1511,35
slo,Southern Lorraine,1511,NA
srv,Southern Rhone valley,1511,NA
swi,Switzerland (Leman Lake),1511,51
vse,Various South-East,1511,NA
vpc,Vendée - Poitou Charente,1511,NA
als,Alsace,1512,NA
auv,Auvergne,1512,NA
aux,Auxerre-Avalon,1512,NA
bea,Beaujolais and Maconnais,1512,NA
bor,Bordeaux,1512,NA
bur,Burgundy,1512,24
cha1,Champagne 1,1512,NA
cha2,Champagne 2,1512,NA
gai,Gaillac- South-West,1512,25
ger,Germany,1512,NA
hlv,High Loire Valley,1512,NA
idf,Ile de France,1512,16.364583333333332
jur,Jura,1512,NA
lan,Languedoc,1512,NA
llv,Low Loire Valley,1512,NA
lux,Luxembourg,1512,NA
mar,Maritime alps,1512,NA
nit,Northern Italy,1512,NA
nlo,Northern  Lorraine,1512,NA
nrv,Northern Rhone valley,1512,NA
sav,Savoie,1512,NA
spa,Spain,1512,45
slo,Southern Lorraine,1512,NA
srv,Southern Rhone valley,1512,NA
swi,Switzerland (Leman Lake),1512,33
vse,Various South-East,1512,NA
vpc,Vendée - Poitou Charente,1512,NA
als,Alsace,1513,NA
auv,Auvergne,1513,NA
aux,Auxerre-Avalon,1513,NA
bea,Beaujolais and Maconnais,1513,NA
bor,Bordeaux,1513,NA
bur,Burgundy,1513,NA
cha1,Champagne 1,1513,NA
cha2,Champagne 2,1513,NA
gai,Gaillac- South-West,1513,NA
ger,Germany,1513,NA
hlv,High Loire Valley,1513,NA
idf,Ile de France,1513,19.364583333333332
jur,Jura,1513,NA
lan,Languedoc,1513,NA
llv,Low Loire Valley,1513,NA
lux,Luxembourg,1513,NA
mar,Maritime alps,1513,NA
nit,Northern Italy,1513,NA
nlo,Northern  Lorraine,1513,NA
nrv,Northern Rhone valley,1513,NA
sav,Savoie,1513,NA
spa,Spain,1513,57
slo,Southern Lorraine,1513,NA
srv,Southern Rhone valley,1513,NA
swi,Switzerland (Leman Lake),1513,35
vse,Various South-East,1513,NA
vpc,Vendée - Poitou Charente,1513,NA
als,Alsace,1514,NA
auv,Auvergne,1514,NA
aux,Auxerre-Avalon,1514,NA
bea,Beaujolais and Maconnais,1514,NA
bor,Bordeaux,1514,NA
bur,Burgundy,1514,33
cha1,Champagne 1,1514,NA
cha2,Champagne 2,1514,NA
gai,Gaillac- South-West,1514,NA
ger,Germany,1514,NA
hlv,High Loire Valley,1514,NA
idf,Ile de France,1514,11.364583333333332
jur,Jura,1514,NA
lan,Languedoc,1514,NA
llv,Low Loire Valley,1514,NA
lux,Luxembourg,1514,NA
mar,Maritime alps,1514,NA
nit,Northern Italy,1514,NA
nlo,Northern  Lorraine,1514,NA
nrv,Northern Rhone valley,1514,NA
sav,Savoie,1514,NA
spa,Spain,1514,NA
slo,Southern Lorraine,1514,NA
srv,Southern Rhone valley,1514,NA
swi,Switzerland (Leman Lake),1514,36
vse,Various South-East,1514,NA
vpc,Vendée - Poitou Charente,1514,NA
als,Alsace,1515,NA
auv,Auvergne,1515,NA
aux,Auxerre-Avalon,1515,NA
bea,Beaujolais and Maconnais,1515,NA
bor,Bordeaux,1515,NA
bur,Burgundy,1515,35
cha1,Champagne 1,1515,NA
cha2,Champagne 2,1515,NA
gai,Gaillac- South-West,1515,NA
ger,Germany,1515,NA
hlv,High Loire Valley,1515,NA
idf,Ile de France,1515,13.395833333333332
jur,Jura,1515,NA
lan,Languedoc,1515,NA
llv,Low Loire Valley,1515,NA
lux,Luxembourg,1515,NA
mar,Maritime alps,1515,NA
nit,Northern Italy,1515,NA
nlo,Northern  Lorraine,1515,NA
nrv,Northern Rhone valley,1515,NA
sav,Savoie,1515,NA
spa,Spain,1515,NA
slo,Southern Lorraine,1515,NA
srv,Southern Rhone valley,1515,NA
swi,Switzerland (Leman Lake),1515,46
vse,Various South-East,1515,NA
vpc,Vendée - Poitou Charente,1515,NA
