abbreviation,name,year,value
vse,Various South-East,1360,NA
vpc,Vendée - Poitou Charente,1360,NA
als,Alsace,1361,NA
auv,Auvergne,1361,NA
aux,Auxerre-Avalon,1361,NA
bea,Beaujolais and Maconnais,1361,NA
bor,Bordeaux,1361,NA
bur,Burgundy,1361,NA
cha1,Champagne 1,1361,NA
cha2,Champagne 2,1361,NA
gai,Gaillac- South-West,1361,NA
ger,Germany,1361,NA
hlv,High Loire Valley,1361,NA
idf,Ile de France,1361,NA
jur,Jura,1361,NA
lan,Languedoc,1361,NA
llv,Low Loire Valley,1361,NA
lux,Luxembourg,1361,NA
mar,Maritime alps,1361,NA
nit,Northern Italy,1361,NA
nlo,Northern  Lorraine,1361,NA
nrv,Northern Rhone valley,1361,NA
sav,Savoie,1361,NA
spa,Spain,1361,NA
slo,Southern Lorraine,1361,NA
srv,Southern Rhone valley,1361,NA
swi,Switzerland (Leman Lake),1361,NA
vse,Various South-East,1361,NA
vpc,Vendée - Poitou Charente,1361,NA
als,Alsace,1362,NA
auv,Auvergne,1362,NA
aux,Auxerre-Avalon,1362,NA
bea,Beaujolais and Maconnais,1362,NA
bor,Bordeaux,1362,NA
bur,Burgundy,1362,NA
cha1,Champagne 1,1362,NA
cha2,Champagne 2,1362,NA
gai,Gaillac- South-West,1362,NA
ger,Germany,1362,NA
hlv,High Loire Valley,1362,NA
idf,Ile de France,1362,NA
jur,Jura,1362,NA
lan,Languedoc,1362,NA
llv,Low Loire Valley,1362,NA
lux,Luxembourg,1362,NA
mar,Maritime alps,1362,NA
nit,Northern Italy,1362,NA
nlo,Northern  Lorraine,1362,NA
nrv,Northern Rhone valley,1362,NA
sav,Savoie,1362,NA
spa,Spain,1362,NA
slo,Southern Lorraine,1362,NA
srv,Southern Rhone valley,1362,NA
swi,Switzerland (Leman Lake),1362,NA
vse,Various South-East,1362,NA
vpc,Vendée - Poitou Charente,1362,NA
als,Alsace,1363,NA
auv,Auvergne,1363,NA
aux,Auxerre-Avalon,1363,NA
bea,Beaujolais and Maconnais,1363,NA
bor,Bordeaux,1363,NA
bur,Burgundy,1363,NA
cha1,Champagne 1,1363,NA
cha2,Champagne 2,1363,NA
gai,Gaillac- South-West,1363,NA
ger,Germany,1363,NA
hlv,High Loire Valley,1363,NA
idf,Ile de France,1363,NA
jur,Jura,1363,NA
lan,Languedoc,1363,NA
llv,Low Loire Valley,1363,NA
lux,Luxembourg,1363,NA
mar,Maritime alps,1363,NA
nit,Northern Italy,1363,NA
nlo,Northern  Lorraine,1363,NA
nrv,Northern Rhone valley,1363,NA
sav,Savoie,1363,NA
spa,Spain,1363,NA
slo,Southern Lorraine,1363,NA
srv,Southern Rhone valley,1363,NA
swi,Switzerland (Leman Lake),1363,NA
vse,Various South-East,1363,NA
vpc,Vendée - Poitou Charente,1363,NA
als,Alsace,1364,NA
auv,Auvergne,1364,NA
aux,Auxerre-Avalon,1364,NA
bea,Beaujolais and Maconnais,1364,NA
bor,Bordeaux,1364,NA
bur,Burgundy,1364,NA
cha1,Champagne 1,1364,NA
cha2,Champagne 2,1364,NA
gai,Gaillac- South-West,1364,NA
ger,Germany,1364,NA
hlv,High Loire Valley,1364,NA
idf,Ile de France,1364,NA
jur,Jura,1364,NA
lan,Languedoc,1364,NA
llv,Low Loire Valley,1364,NA
lux,Luxembourg,1364,NA
mar,Maritime alps,1364,NA
nit,Northern Italy,1364,NA
nlo,Northern  Lorraine,1364,NA
nrv,Northern Rhone valley,1364,NA
sav,Savoie,1364,NA
spa,Spain,1364,NA
slo,Southern Lorraine,1364,NA
srv,Southern Rhone valley,1364,NA
swi,Switzerland (Leman Lake),1364,NA
vse,Various South-East,1364,NA
vpc,Vendée - Poitou Charente,1364,NA
als,Alsace,1365,NA
auv,Auvergne,1365,NA
