year,period,enddate,description,doy,assessment,location,source
1408,Sep 15,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1409,Sep 12,NA,grape harvest begins  (d-of-Yr),255,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1410,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1411,Oct 7,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1412,Sep 18,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1413,Sep 11,NA,grape harvest begins  (d-of-Yr),254,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1414,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1415,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1416,Sep 30,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1417,Sep 25,NA,grape harvest begins  (d-of-Yr),268,average,Beaune (CO),"Labbé, GHD_Beaune"
1418,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1419,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1420,Sep 5,NA,grape harvest begins  (d-of-Yr),249,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1421,Sep 24,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1422,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1423,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1424,Sep 16,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1425,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1426,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1427,Sep 28,NA,grape harvest begins  (d-of-Yr),271,average,Beaune (CO),"Labbé, GHD_Beaune"
1428,Oct 10,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1429,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1430,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1431,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1432,Sep 18,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1433,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1434,Sep 4,NA,grape harvest begins  (d-of-Yr),247,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1435,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1436,Oct 5,NA,grape harvest begins  (d-of-Yr),279,late,Beaune (CO),"Labbé, GHD_Beaune"
1437,Oct 2,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1438,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1439,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1440,Oct 1,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1441,Sep 22,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1442,Oct 14,NA,grape harvest begins  (d-of-Yr),287,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1443,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1444,Sep 26,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1445,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1446,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1447,Oct 4,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1448,Oct 3,NA,grape harvest begins  (d-of-Yr),277,late,Beaune (CO),"Labbé, GHD_Beaune"
1449,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1450,Sep 30,NA,grape harvest begins  (d-of-Yr),273,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1451,Oct 13,NA,grape harvest begins  (d-of-Yr),286,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1452,Sep 28,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1453,Oct 14,NA,grape harvest begins  (d-of-Yr),287,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1454,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1455,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1456,Oct 9,NA,grape harvest begins  (d-of-Yr),283,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1457,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1458,Sep 27,NA,grape harvest begins  (d-of-Yr),270,average,Beaune (CO),"Labbé, GHD_Beaune"
1459,Oct 8,NA,grape harvest begins  (d-of-Yr),281,late,Beaune (CO),"Labbé, GHD_Beaune"
1460,Oct 1,NA,grape harvest begins  (d-of-Yr),275,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1461,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1462,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1463,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1464,Sep 16,NA,grape harvest begins  (d-of-Yr),260,early,Beaune (CO),"Labbé, GHD_Beaune"
1465,Oct 12,NA,grape harvest begins  (d-of-Yr),285,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1466,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1467,Oct 1,NA,grape harvest begins  (d-of-Yr),274,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1468,Oct 9,NA,grape harvest begins  (d-of-Yr),283,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1469,Sep 29,NA,grape harvest begins  (d-of-Yr),272,average,Beaune (CO),"Labbé, GHD_Beaune"
1470,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1471,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1472,Sep 23,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1473,Sep 5,NA,grape harvest begins  (d-of-Yr),248,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1474,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1475,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1476,Sep 25,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1477,Oct 11,NA,grape harvest begins  (d-of-Yr),284,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1478,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1479,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1480,Oct 6,NA,grape harvest begins  (d-of-Yr),280,late,Beaune (CO),"Labbé, GHD_Beaune"
1481,Oct 20,NA,grape harvest begins  (d-of-Yr),293,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1482,Sep 19,NA,grape harvest begins  (d-of-Yr),262,early,Beaune (CO),"Labbé, GHD_Beaune"
1483,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1484,Sep 23,NA,grape harvest begins  (d-of-Yr),267,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1485,Oct 9,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1486,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1487,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1488,Oct 19,NA,grape harvest begins  (d-of-Yr),293,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1489,Oct 5,NA,grape harvest begins  (d-of-Yr),278,late,Beaune (CO),"Labbé, GHD_Beaune"
1490,Sep 23,NA,grape harvest begins  (d-of-Yr),266,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1491,Oct 14,NA,grape harvest begins  (d-of-Yr),287,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1492,Sep 21,NA,grape harvest begins  (d-of-Yr),265,rather early,Beaune (CO),"Labbé, GHD_Beaune"
1493,Oct 3,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1494,Sep 20,NA,grape harvest begins  (d-of-Yr),263,early,Beaune (CO),"Labbé, GHD_Beaune"
1495,Sep 16,NA,grape harvest begins  (d-of-Yr),259,extremely advanced,Beaune (CO),"Labbé, GHD_Beaune"
1496,Oct 8,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1497,Oct 9,NA,grape harvest begins  (d-of-Yr),282,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1498,Oct 13,NA,grape harvest begins  (d-of-Yr),286,extremely late,Beaune (CO),"Labbé, GHD_Beaune"
1499,Oct 3,NA,grape harvest begins  (d-of-Yr),276,rather late,Beaune (CO),"Labbé, GHD_Beaune"
1500,Sep 18,NA,grape harvest begins  (d-of-Yr),261,early,Beaune (CO),"Labbé, GHD_Beaune"
1501,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
1502,Sep 26,NA,grape harvest begins  (d-of-Yr),269,average,Beaune (CO),"Labbé, GHD_Beaune"
1503,Sep 21,NA,grape harvest begins  (d-of-Yr),264,early,Beaune (CO),"Labbé, GHD_Beaune"
